file_name,parent_folder,A,freq,num_grids,grid_spacing,grid_pos,origin_y,origin_x,need2rotate,use_now
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine1,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,1,10,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine2,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,2,10,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,4,10,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine4,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,10,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine5,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,5,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine6,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,10,5,,10,low,0.07,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine7,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,1,10,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine8,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,2,10,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine9,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,4,10,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine10,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,10,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine11,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,5,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine12,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,10,5,,10,low,0.17,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine13,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,1,10,,10,low,0.27,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine14,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,2,10,,10,low,0.27,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine15,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,4,10,,10,low,0.27,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine16,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,10,,10,low,0.27,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine17,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,5,5,,10,low,0.27,-0.06,0,0
PIV_sv_semiCloseUp_fps2k_grid3x3x10_withCap_Cam_20861_Cine18,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20170927,10,5,,10,low,0.27,-0.06,0,0
,,,,,,,,,,
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine1,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,2,5,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine2,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,4,5,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine3,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,6,5,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine4,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,8,5,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine5,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,10,5,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine6,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,1,10,,20,,0.165,-0.075,0,1
PIV_sv_fps2k_grid3tx2x20_noCap_Cam_20861_Cine7,E:\Experiments_Stephane\Grid column\PIV_measurements\Hollow_grid_3\20171015,2,10,,20,,0.165,-0.075,0,1
